_id,description_en
"132","This work shows the virgin Mary as a heavenly queen with the child Jesus on her lap. They sit on a richly decorated throne supported by cherubs and seraphim. Probably this is the portrait of Agnes Sorel the beloved of Charles VII. She is very fashionably dressed. The high shaved hair and the ermine coat indicate her first name. The constricted waist emphasizes the slightly loosened lapel, revealing the full breast and giving it a slightly erotic tint. The scene is unreal: the milky-white skin of Mary and Jesus contrasts with the bright red and blue angels. The artwork forms the right panel of the so-called Melundipie. The French court painter Jean Fouquet painted this on behalf of Etienne Chevalier treasurer of the French king and husband of Catherine Budé. The work hung above her tomb in the Notre Dame of Melun. The left wing (Gemäldegalerie Berlin) shows Etienne Chevalier with his patron saint Saint Stefan."
"677","In the center is a female figure in a domestic scene. The grandparents sing loudly from a songbook, the father blows powerfully on a bagpipe. The little ones do their best too: the baby sits on mother's lap and blows his rattle whistle, the big brother plays a recorder close to grandfather. The greyhound listens with pricked ears. At the top of the cartouche, one can read the proverb mentioned in the emblem book of Jacob Cats Spiegel van den old en nieuwenijd (1632). It was very popular in the Low Countries of the seventeenth century because of the many references in literature and visual arts. Jacob Jordaens made the first depiction of this proverb (1638). It is literally stated here: the young imitate the elderly. The old man is probably Adam Van Noort's teacher and father-in-law of Jordaens. Perhaps the bagpipe player is Jordaens himself, but that is not very certain."
"1932","Nel, Rik Wouters' wife, looks up from the ironing. Her hands are outstretched, her head up. The painting radiates sun, heat and light. The scene takes place in the artist's home. Everything vibrates in the light, yet many objects are recognizable. For example, there is the basket with the ironing items, the copper lamp, the vase with flowers and the glass stopper on the mantelpiece. They catch the light and reflect it. Wouters does not seem really concerned with the local color, but he does not neglect the shape structure."
"2711/65","copy after Eugène Delacroix"
"2589","This work is part of pointillism or neo-impressionism. The work is part of a series of eight village scenes (Faits du village) that Van de Velde painted in one month in an artists' colony in the Antwerp Kempen. The townscape is bathed in an internal light that is enhanced by yellow, purple and orange dots. The farmer's wife by the window is enveloped by the light. She wears Flemish peasant clothes, and her figure consists of simple surfaces that indicate her pure and simple existence. It forms the transition element between the spiritual world within the room and the actual material outside world."
"3211","This work is situated in the expressionist period of Gustave Van de Woestyne. The children depicted are Bertha, the helper in the Van de Woestyne family, and Gaston, the so-called brother of the girl who in reality had no brother. They tower above the toy houses and trees next to a dahlia growing out of nowhere. They wear black Sunday clothes and are stock-free in a chair. Their facial features are caricatural."
"5045","In the center are three traders who have their merchandise displayed around them: a young and an old woman in the center and a young poultry trader to the left. The vegetables, fruit and birds are clearly recognizable. Yet this scene does not correspond to reality. The different varieties could never be offered for sale at the same time. Perhaps the painter wanted to emphasize their underlying allegorical significance: many of the fruit and vegetables on display and poultry were considered sensory agents. One can therefore recognize an amorous situation in this scene: the old woman will link the young fruit seller to the young bird dealer. Vogelaar is also a popular name for a woman runner."
"1908-F","Théodore Géricault is one of the main representatives of French Romanticism. The movement developed a deeplyfelt and individualistic style in reaction to the coolness and strictness of NeoClassicism. 'The Kleptomaniac' was one of the ten portraits made by Géricault of mental patients in the period around 1820. Both in the choice of subjects and in the manner in which they are depicted, this series known as 'Monomaniacs' is as striking as it is exceptional in the history of painting. Géricault does not present the public with 'picturesque' portraits. His depictions are intended as clinical documents. The symptoms of the various 'monomanias' compulsive gambling, kleptomania etc. are apparent from the sitters' garments their facial expressions and their gaze. The suggestive style with its supple and forceful modelling and rapid brushstroke is characteristic of Géricault's late work. The maniacs are certainly not idealised but still their portraits express a certain dignity that presents them as individual human beings. The only exception here is 'The Kleptomaniac'. His appearance is rough and wild mainly because of his tousled hair and unkempt beard. But his most striking feature is his intense gaze which is both fixed and indirect. The mental confusion of this monomaniac is revealed in his eyes. 'The Kleptomaniac' testifies to the typical Romantic search for truthfulness based on careful observation of reality. In this introspective painting Géricault's art reaches its culmination."
"1902-H","Jheronimus Bosch and his art represent a unique phenomenon in art history. From the medieval language of symbols and imaginative interpretation he forged a highly original vision dominated by religious themes with moralizing messages. As a composition the 'Bearing of the Cross' is as unusual as it is audacious. The picture plane is filled with nothing but heads devoid of volume or spatial effects. Good and Evil are juxtaposed here. The serene faces of Christ and Veronica are points of calm amid the chaos. The grotesque mugs are at once caricatured and lifelike. The expressive types illustrate the corruption and stupidity of mankind. As a study of human facial expressions this work is unparalleled. In its palette technique and iconography it is an apotheosis of Bosch's artistic originality. The 'Bearing of the Cross' is not only a unique creation in Bosch's oeuvre but it also stands as a work unlike anything seen in European painting of the period around 1500."
"S-76","Theodoor Rombouts is one of the earliest and most important representatives of Caravaggism in the Southern Netherlands. In style and subject matter he drew mostly from Bartolomeo Manfredi the most influential figure in the imitation of Caravaggio. Rombouts's oeuvre is characterised by exceptionally monumental genre scenes in a horizontal format. His drinkers card players and musicians 'single figures or groups are painted with strong chiaroscuro contrasts against a neutral dark background. In 'The Five Senses' Rombouts departs from pure Caravaggism. The scene is set in the open air. The varied colour palette great sense of movement and subtle light and dark gradations testify to the influence of the Rubensian aesthetic while the lively expression the convincing rendition of textures the still life and the Manfredian inspiration refer to the Caravaggesque background of Rombouts. This lifesize painting of an animated company of men as an allegory of the five senses is unique in Caravaggist painting."
