_id,workPid,dataPid
S-40,https://mskgent.be/collection/work/id/S-40,https://mskgent.be/collection/work/data/S-40
1958-V-8-10,https://mskgent.be/collection/work/id/1958-V-8-10,https://mskgent.be/collection/work/data/1958-V-8-10
1998-B-47-2,https://mskgent.be/collection/work/id/1998-B-47-2,https://mskgent.be/collection/work/data/1998-B-47-2
1914-IJ,https://mskgent.be/collection/work/id/1914-IJ,https://mskgent.be/collection/work/data/1914-IJ
1932-AL,https://mskgent.be/collection/work/id/1932-AL,https://mskgent.be/collection/work/data/1932-AL
1976-P,https://mskgent.be/collection/work/id/1976-P,https://mskgent.be/collection/work/data/1976-P
1998-B-121,https://mskgent.be/collection/work/id/1998-B-121,https://mskgent.be/collection/work/data/1998-B-121
1883-L,https://mskgent.be/collection/work/id/1883-L,https://mskgent.be/collection/work/data/1883-L
1923-L-1,https://mskgent.be/collection/work/id/1923-L-1,https://mskgent.be/collection/work/data/1923-L-1
1929-AY,https://mskgent.be/collection/work/id/1929-AY,https://mskgent.be/collection/work/data/1929-AY
1942-B,https://mskgent.be/collection/work/id/1942-B,https://mskgent.be/collection/work/data/1942-B
2014-HN,https://mskgent.be/collection/work/id/2014-HN,https://mskgent.be/collection/work/data/2014-HN
1937-AF,https://mskgent.be/collection/work/id/1937-AF,https://mskgent.be/collection/work/data/1937-AF
1903-LL,https://mskgent.be/collection/work/id/1903-LL,https://mskgent.be/collection/work/data/1903-LL
2012-A-7,https://mskgent.be/collection/work/id/2012-A-7,https://mskgent.be/collection/work/data/2012-A-7
S-66,https://mskgent.be/collection/work/id/S-66,https://mskgent.be/collection/work/data/S-66
1951-AT,https://mskgent.be/collection/work/id/1951-AT,https://mskgent.be/collection/work/data/1951-AT
1914-GS,https://mskgent.be/collection/work/id/1914-GS,https://mskgent.be/collection/work/data/1914-GS
1951-L,https://mskgent.be/collection/work/id/1951-L,https://mskgent.be/collection/work/data/1951-L
1955-K,https://mskgent.be/collection/work/id/1955-K,https://mskgent.be/collection/work/data/1955-K
2005-V,https://mskgent.be/collection/work/id/2005-V,https://mskgent.be/collection/work/data/2005-V
