_id,workPid,dataPid
0.2.GRO0022.01.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_01_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_01_III
0.2.GRO0022.02.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_02_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_02_III
0.2.GRO0022.03.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_03_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_03_III
0.2.GRO0022.04.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_04_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_04_III
0.2.GRO0022.05.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_05_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_05_III
0.2.GRO0022.06.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_06_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_06_III
0.2.GRO0022.07.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_07_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_07_III
0.2.GRO0022.08.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_08_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_08_III
0.2.GRO0022.09.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_09_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_09_III
0.2.GRO0022.10.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_10_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_10_III
0.2.GRO0022.11.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_11_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_11_III
0.2.GRO0022.12.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_12_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_12_III
0.2.GRO0022.13.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_13_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_13_III
0.2.GRO0022.14.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_14_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_14_III
0.2.GRO0022.15.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_15_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_15_III
0.2.GRO0022.16.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_16_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_16_III
0.2.GRO0022.17.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_17_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_17_III
0.2.GRO0022.18.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_18_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_18_III
0.2.GRO0022.19.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_19_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_19_III
0.2.GRO0022.20.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_20_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_20_III
0.2.GRO0022.21.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_21_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_21_III
0.2.GRO0022.22.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_22_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_22_III
0.2.GRO0022.23.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_23_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_23_III
0.2.GRO0022.24.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_24_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_24_III
0.2.GRO0022.25.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_25_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_25_III
0.2.GRO0022.26.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_26_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_26_III
0.2.GRO0022.27.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_27_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_27_III
0.2.GRO0022.28.III,https://www.museabrugge.be/collection/work/id/0_2_GRO0022_28_III,https://www.museabrugge.be/collection/work/data/0_2_GRO0022_28_III
